,site,points,title,description,taster_name,taster_twitter_handle,taster_photo,price,designation,variety,region_1,region_2,province,country,winery
4,winemag-data_1644183720.414101.json,89,Vignoble de la Jarnoterie 2019 Elégante  (Saint-Nicolas-de-Bourgueil),"
                      Matured in tank to preserve the fruit, this wine is bright and smoky. Perfumed with floral blackberry fruits, the spicy wine will be ready to drink from 2022.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,25.0,Elégante,Cabernet Franc,Saint-Nicolas-de-Bourgueil,,Loire Valley,France,Vignoble de la Jarnoterie
5,winemag-data_1644183720.414101.json,89,Silhouette 2017 Cuvée 211 Reserve Red (North Coast),"
                      Both aromatic and quite rich on the palate, this big but smooth wine is saturated in plump blackberry, ripe plum and dried fig flavors. It is mouthfilling, only slightly tannic and has a fruity generosity that lasts through the finish.                      ",Jim Gordon,@gordone_cellars,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Jim_Gordon_BillReitzel_300x450.jpg,14.0,Cuvée 211 Reserve,Red Blends,North Coast,North Coast,California,US,Silhouette
0,winemag-data_1644183688.889712.json,89,Marichal 2018 Reserve Collection Tannat (Canelones),"
                      Pinched blackberry aromas include a note of leather, while this fresh-style Tannat is tightly wound, with high acidity. Short pops of tart black cherry, dark plum and blackberry flavors finish clean and short, with a dash of leftover oak.                      ",Michael Schachner,@wineschach,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Michael_Schachner_300x450.jpg,20.0,Reserve Collection,Tannat,,,Canelones,Uruguay,Marichal
1,winemag-data_1644183688.889712.json,89,Marie Copinet NV Brut Blanc de Blancs Chardonnay (Champagne),"
                      This ripe, soft style of Chardonnay from family vineyards on chalk slopes presents layers of red apple and flashes of lime. It is lightly textured and openly fruity. Drink now.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,50.0,Brut Blanc de Blancs,Chardonnay,Champagne,,Champagne,France,Marie Copinet
2,winemag-data_1644183688.889712.json,89,Martin Ranch 2017 Therese Vineyards Estate Cabernet Sauvignon (Santa Cruz Mountains),"
                      Dark berry and plum meet with caramel on the pleasantly easy nose of this bottling. Tobacco and wood spice show on the palate alongside the dark-berry core.                      ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,60.0,Therese Vineyards Estate,Cabernet Sauvignon,Santa Cruz Mountains,Central Coast,California,US,Martin Ranch
3,winemag-data_1644183688.889712.json,89,Palladino 2017 Ornato  (Barolo),"
                      Scorched earth, camphor, new leather and prune aromas form the nose. The assertive, monolithic palate recalls dried cherry, licorice and the scorching heat of alcohol that throws it off balance. Grainy tannins clench the finish.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,70.0,Ornato,Nebbiolo,Barolo,,Piedmont,Italy,Palladino
4,winemag-data_1644183688.889712.json,89,Paris Valley Road 2018 Reserve Cabernet Sauvignon (Paso Robles),"
                      Freshly smashed black-cherry and boysenberry aromas meet with touches of tar, black olive and purple flowers on the nose of this bottling. There's a hint of tobacco leaf on the front of the palate, which is firm with tannins while running through juicy flavors of blackberry jam and cherry compote.                      ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,75.0,Reserve,Cabernet Sauvignon,Paso Robles,Central Coast,California,US,Paris Valley Road
0,winemag-data_1644183595.8073604.json,93,Emercy 2019 Grenache-Cabernet Sauvignon-Petite Sirah Red (Santa Barbara County),"
                      Fresh and yet very opulent aromas of black and red cherry meet with light caramel and chai spice on the nose of this blend of 52% Grenache, 42% Cabernet Sauvignon and 6% Petite Sirah. Fresh and crisp berry flavors pop on the palate, aided by healthy doses of dried herb and dark spice.                      ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,65.0,Grenache-Cabernet Sauvignon-Petite Sirah,Red Blends,Santa Barbara County,Central Coast,California,US,Emercy
1,winemag-data_1644183595.8073604.json,93,Center of Effort 2020 Effort Rosé of Grenache (Edna Valley),"
                      Rose petals, light pluot and a hint of spearmint on the nose make for very crisp aromas in this Grenache-based rosé. There's tremendous texture to the palate, giving a grippy edge to the softer, fresh flavors of strawberry and watermelon.                      ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,26.0,Effort Rosé of,Grenache,Edna Valley,Central Coast,California,US,Center of Effort
2,winemag-data_1644183595.8073604.json,93,Clementine Carter 2019 Larner Grenache (Ballard Canyon),"
                      A light shade in the glass, this bottling pops on the nose with dried cherry, pomegranate and rose-petal aromas, with just the slightest hint of game lingering beneath. Bouncy fruit flavors of red punch zip across the acid-driven sip, where a grippy structure leads into a finish where dark-spice elements arise.                      ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,45.0,Larner,Grenache,Ballard Canyon,Central Coast,California,US,Clementine Carter
3,winemag-data_1644183595.8073604.json,93,Fess Parker 2019 Ashley's Pinot Noir (Sta. Rita Hills),"
                      Clean and approachable aromas of cherry and spice cake make for a familiar and delicious entry to the nose of this wine. The palate shows darker cherry flavors as well as plenty of clove and mace, surrounding a mouthfeel that is very full without being too rich.                      ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,60.0,Ashley's,Pinot Noir,Sta. Rita Hills,Central Coast,California,US,Fess Parker
4,winemag-data_1644183595.8073604.json,93,Ryan Cochrane 2018 Solomon Hills Vineyard Chardonnay (Santa Maria Valley),"
                      Aromas of lemon peel, Gravenstein apple and struck stone light up the nose of this bottling. The palate is quite tense and stony, but also generous in flavors of lemon cream and crisp yellow apple.                      ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,48.0,Solomon Hills Vineyard,Chardonnay,Santa Maria Valley,Central Coast,California,US,Ryan Cochrane
5,winemag-data_1644183595.8073604.json,93,Crū 2019 Solomon Hills Vineyard Pommard Clone Pinot Noir (Santa Maria Valley),"
                      This is a vibrant and lively wine from an exciting vineyard. Aromas of raspberry sorbet, sage and white pepper lead the nose into a bright and zippy palate that's full of cranberry, plum and lingering cracked pepper flavors.                      ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,70.0,Solomon Hills Vineyard Pommard Clone,Pinot Noir,Santa Maria Valley,Central Coast,California,US,Crū
